9998_2,y
1501_5,y
3516_0,y
7588_0,y
4910,y
7786,y
5694,y
6558_4,y
8303,y
6809_0,y
9212,y
7587_5,y
3468,y
8472_6,y
4915_5,n
9856_3,y
6263_4,n
3468_2,y
2473,y
8121_0,y
124,d
8735_4,y
6387_2,n
5694_3,y
6627,y
2435,y
9892_0,y
2284,d
6263_6,n
4915_1,n
6288_6,d
9998,d
4054_6,y
8559,y
1330_4,n
8460,y
1559_4,n
1049_1,n
3248_3,d
7324,n
9143,y
6860,y
6610,y
6321,y
4502_2,y
7437_3,y
5689_1,n
5724,y
5125,y
1657_0,y
3246,n
8762,n
3403,n
10314_6,n
8330,n
4395_4,n
6466,y
8780,n
1501_0,y
531_6,n
7574,n
5744_2,y
7406_6,n
8865,y
4026,y
5791_2,y
3855_1,n
2521,n
4112,n
1861_3,n
7961_0,n
8573_6,y
8528_6,n
410_1,n
1838_3,y
602_3,n
4903_1,y
6959_4,n
8506,y
8531_1,y
872_2,n
1937_6,n
7475_5,y
7444,d
5676,y
4245_2,y
5142_0,n
5119,y
1726,n
3869,d
2130_3,y
6752,n
2581_4,y
4196,n
4196_0,n
4196_1,n
4196_2,n
4196_3,n
4196_4,n
4196_5,n
4196_6,n
9108,n
2394,y
9663,y
6629,n
6629_0,y
1330,n
1330_0,n
1330_1,n
1330_2,n
1330_3,n
1330_5,n
1330_6,n
2103,n
3119,n
7166,y
10098,y
10282,d
7483,n
6123,y
8540,y
894,y
2972,n
9170,y
9170_0,y
3432,d
2292,d
3409,y
348,n
2477,n
482,n
8946,y
8946_0,y
8946_1,y
8946_2,y
8946_3,y
8946_4,y
8946_5,y
8946_6,y
10136,y
10136_0,n
10136_1,y
10136_2,y
10136_3,y
10136_4,y
10136_5,y
10136_6,y
4383,n
8241,y
4056,n
8856,n
8856_0,n
8856_1,n
8856_2,n
8856_3,n
8856_4,n
8856_5,n
8856_6,n
9333,y
1115,y
2024,n
5094,y
7582,n
7582_0,n
7582_1,n
7582_2,n
7582_3,n
7582_4,n
7582_5,n
7582_6,n
2350,y
9996,y
2561,n
2561_0,y
2561_1,y
2561_2,y
2561_3,y
2561_4,y
2561_5,y
2561_6,y
9430,y
8042,n
5865,y
6084,y
5738,y
5738_0,d
9237,n
1448,y
1448_0,y
304,y
304_0,y
304_1,n
304_2,n
304_3,n
304_4,y
304_5,n
304_6,n
7731,n
8864,n
128,n
8247,y
1666,d
1501,n
1501_1,n
1501_2,n
1501_3,y
1501_4,y
1501_6,n
602,n
602_0,n
602_1,n
602_2,n
602_4,n
602_5,n
602_6,n
2635,y
7967,d
7316,n
7316_0,n
7316_1,n
7316_2,n
7316_3,n
7316_4,n
7316_5,n
7316_6,n
10165,y
1470,y
1470_0,n
1470_1,y
1470_2,y
1470_3,y
1470_4,y
1470_5,y
1470_6,y
1801,y
1916,n
4459,y
6988,d
6988_0,d
6988_1,n
2130,y
2130_0,y
2130_1,y
2130_2,y
6109,n
2840,y
5740,y
3573,n
1861,n
1861_0,n
1861_1,n
1861_2,n
1861_4,n
1861_5,n
1861_6,n
1457,n
8934,y
10120,n
10120_0,n
10120_1,n
1205,n
2142,y
2142_0,d
2142_1,d
2142_2,y
1937,y
1937_0,y
1937_1,n
1937_2,n
1937_3,y
1937_4,n
1937_5,n
6354,n
6693,y
7085,y
5079,d
5625,y
5625_0,n
5625_1,n
5625_2,n
5625_3,n
5625_4,n
5625_5,n
5625_6,n
472,n
472_0,n
472_1,y
472_2,n
472_3,y
472_4,n
472_5,y
472_6,n
3310,y
2049,n
999,y
9010,y
8398,n
622,y
9273,y
9273_0,y
9273_1,y
9273_2,y
3127,n
4499,y
4499_0,y
4499_1,y
4499_2,y
4499_3,y
4499_4,y
4499_5,y
4499_6,y
268,y
268_0,y
268_1,y
268_2,y
268_3,y
268_4,y
268_5,y
268_6,y
4190,y
2570,n
8402,y
796,y
3899,n
2581,y
2581_0,y
2581_1,y
2581_2,y
2581_3,y
2581_5,y
2581_6,y
7680,n
439,y
4474,d
3768,y
4486,n
7048,n
5793,y
5793_0,y
5793_1,y
5793_2,y
5793_3,y
5793_4,y
5793_5,y
5793_6,y
3457,y
657,n
10205,d
2886,n
2886_0,y
2886_1,y
2886_2,y
2886_3,y
9013,n
3561,n
753,n
8521,n
8521_0,n
8521_1,n
8521_2,n
8521_3,n
8521_4,n
8521_5,n
8521_6,n
9396,y
331,n
331_0,n
7760,y
866,n
6794,d
7011,d
5808,n
446,y
7374,y
7374_0,n
7374_1,n
7374_2,n
7374_3,n
7374_4,n
7374_5,y
7374_6,n
3394,n
6831,y
6852,y
9743,n
9743_0,n
9743_1,n
9743_2,n
9743_3,n
9743_4,n
9743_5,n
9743_6,n
6488,n
9829,y
2582,n
10174,d
5939,n
5939_0,n
1757,y
4245,y
4245_0,y
4245_1,y
7670,n
7670_0,y
7670_1,n
